,Customer ID,Usia,Gender,ID Pembelian,Jenis Produk,Transaksi,Waktu Pembelian,Jenis Pengiriman,Metode Pembayaran,Feedback
0,ID0908,20,Wanita,SPXID20248,Home,"Rp 912.000,-",30-01-2023,Hemat,Cash,***
1,ID0265,59,Pria,SPXID47452,Fashion,"Rp 177.000,-",28-02-2023,Next Day,COD,****
2,ID0462,31,Wanita,SPXID25075,Food,"Rp 337.000,-",29-01-2023,Hemat,COD,*
3,ID0343,40,Pria,SPXID37636,Home,"Rp 126.000,-",18-09-2023,Reguler,COD,**
4,ID0733,26,Pria,SPXID25861,Fashion,"Rp 456.000,-",23-02-2025,Reguler,Cash,****
5,ID0799,37,Wanita,SPXID35787,Home,"Rp 565.000,-",09-05-2023,Hemat,Transfer,*****
6,ID0903,41,Wanita,SPXID28403,Sport,"Rp 432.000,-",04-08-2025,Next Day,Transfer,**
7,ID0839,20,Pria,SPXID24710,Electronics,"Rp 157.000,-",27-04-2024,Next Day,COD,*
8,ID0805,38,Pria,SPXID14786,Electronics,"Rp 622.000,-",02-06-2024,Reguler,COD,**
9,ID0525,22,Wanita,SPXID13015,Fashion,"Rp 368.000,-",14-01-2024,Reguler,Cash,*****
10,ID0874,44,Wanita,SPXID31873,Fashion,"Rp 232.000,-",26-01-2024,Reguler,Transfer,**
11,ID0642,22,Pria,SPXID06348,Sport,"Rp 206.000,-",27-06-2025,Hemat,Cash,***
12,ID0052,50,Wanita,SPXID01595,Electronics,"Rp 381.000,-",01-03-2023,Reguler,Transfer,***
13,ID0136,41,Wanita,SPXID04284,Sport,"Rp 347.000,-",11-03-2025,Next Day,Transfer,**
14,ID0663,41,Pria,SPXID02462,Electronics,"Rp 240.000,-",13-09-2023,Next Day,Cash,**
15,ID0497,54,Pria,SPXID19872,Sport,"Rp 492.000,-",25-03-2025,Express,COD,****
16,ID0498,38,Pria,SPXID43550,Sport,"Rp 973.000,-",09-06-2025,Express,Cash,***
17,ID0830,19,Pria,SPXID36820,Electronics,"Rp 543.000,-",01-07-2025,Next Day,Ngutang,*****
18,ID0555,35,Wanita,SPXID48751,Fashion,"Rp 23.000,-",10-07-2023,Hemat,Ngutang,****
19,ID0112,47,Pria,SPXID21971,Fashion,"Rp 864.000,-",24-09-2024,Express,COD,**
20,ID0216,33,Pria,SPXID26350,Fashion,"Rp 531.000,-",25-11-2025,Express,Transfer,**
21,ID0356,40,Pria,SPXID16246,Electronics,"Rp 95.000,-",29-06-2023,Hemat,Cash,****
22,ID0502,22,Wanita,SPXID32712,Sport,"Rp 258.000,-",23-04-2024,Express,Transfer,****
23,ID0801,25,Wanita,SPXID26260,Electronics,"Rp 731.000,-",02-11-2023,Next Day,Ngutang,*
24,ID0772,39,Wanita,SPXID22638,Food,"Rp 283.000,-",25-03-2023,Hemat,Cash,****
25,ID0120,25,Pria,SPXID14265,Home,"Rp 966.000,-",09-10-2025,Hemat,COD,***
26,ID0730,59,Pria,SPXID24754,Sport,"Rp 100.000,-",05-10-2025,Reguler,Transfer,****
