,Customer ID,Usia,Gender,ID Pembelian,Jenis Produk,Transaksi,Waktu Pembelian,Jenis Pengiriman,Metode Pembayaran,Feedback
0,ID0428,45,Pria,SPXID43401,Food,"Rp 953.000,-",16-05-2025,Hemat,Ngutang,★
1,ID0533,23,Pria,SPXID11937,Food,"Rp 653.000,-",08-06-2023,Reguler,Transfer,★★★★★
2,ID0595,29,Pria,SPXID15200,Electronics,"Rp 130.000,-",20-08-2025,Next Day,Ngutang,★★
3,ID0449,53,Pria,SPXID44991,Electronics,"Rp 159.000,-",03-10-2025,Next Day,Transfer,★
4,ID0163,28,Pria,SPXID40492,Electronics,"Rp 535.000,-",05-05-2023,Hemat,COD,★★★★
5,ID0969,50,Pria,SPXID30373,Food,"Rp 144.000,-",02-01-2024,Express,Ngutang,★★★
6,ID0509,29,Wanita,SPXID21379,Home,"Rp 831.000,-",13-06-2023,Hemat,Cash,★★★
7,ID0782,36,Wanita,SPXID16898,Food,"Rp 429.000,-",06-10-2023,Express,Ngutang,★★★★★
8,ID0184,34,Wanita,SPXID50231,Home,"Rp 114.000,-",25-05-2023,Express,COD,★★★★
9,ID0183,50,Pria,SPXID08491,Home,"Rp 518.000,-",28-05-2025,Express,Cash,★★
10,ID0356,40,Wanita,SPXID39149,Home,"Rp 645.000,-",14-01-2024,Express,Ngutang,★
11,ID0411,19,Wanita,SPXID28704,Food,"Rp 949.000,-",01-02-2024,Reguler,COD,★
12,ID0568,44,Pria,SPXID24496,Electronics,"Rp 911.000,-",02-06-2024,Reguler,Ngutang,★★★
13,ID0425,20,Wanita,SPXID36912,Home,"Rp 23.000,-",07-10-2023,Reguler,Ngutang,★★★★
14,ID0319,55,Wanita,SPXID06820,Food,"Rp 814.000,-",26-02-2025,Next Day,Ngutang,★★
15,ID0310,56,Pria,SPXID45431,Fashion,"Rp 177.000,-",09-11-2025,Express,COD,★★★
16,ID0156,39,Wanita,SPXID32693,Electronics,"Rp 947.000,-",01-11-2024,Next Day,Transfer,★
17,ID0134,26,Pria,SPXID34547,Sport,"Rp 379.000,-",21-04-2023,Hemat,Transfer,★★★
18,ID0179,47,Wanita,SPXID33943,Home,"Rp 47.000,-",14-01-2024,Hemat,Ngutang,★★★★★
19,ID0145,43,Wanita,SPXID05968,Sport,"Rp 946.000,-",14-11-2024,Next Day,Cash,★
20,ID0684,41,Wanita,SPXID30324,Sport,"Rp 329.000,-",30-05-2023,Next Day,Ngutang,★★★★★
21,ID0267,19,Wanita,SPXID30855,Fashion,"Rp 246.000,-",14-06-2025,Next Day,Cash,★
22,ID0934,33,Pria,SPXID05599,Electronics,"Rp 49.000,-",12-09-2025,Express,Ngutang,★★★★
23,ID0227,36,Pria,SPXID33465,Fashion,"Rp 219.000,-",16-09-2023,Hemat,COD,★★
24,ID0881,48,Pria,SPXID01686,Fashion,"Rp 431.000,-",24-08-2023,Express,Transfer,★★★★★
25,ID0800,28,Wanita,SPXID31653,Electronics,"Rp 366.000,-",15-04-2024,Next Day,Ngutang,★
26,ID0080,30,Wanita,SPXID11264,Food,"Rp 731.000,-",22-10-2023,Hemat,Ngutang,★★
27,ID0116,54,Wanita,SPXID14447,Electronics,"Rp 725.000,-",13-08-2024,Next Day,Cash,★
28,ID0476,44,Wanita,SPXID49688,Electronics,"Rp 756.000,-",21-10-2023,Reguler,Cash,★★★★
29,ID0303,22,Wanita,SPXID27562,Fashion,"Rp 245.000,-",11-01-2023,Reguler,Transfer,★★
30,ID0076,18,Wanita,SPXID05270,Food,"Rp 218.000,-",17-06-2024,Express,Transfer,★★
31,ID0359,26,Wanita,SPXID28416,Home,"Rp 814.000,-",21-03-2025,Hemat,Ngutang,★★★
32,ID0541,20,Wanita,SPXID07177,Fashion,"Rp 877.000,-",23-11-2024,Hemat,Cash,★★★★
33,ID0616,48,Pria,SPXID21801,Fashion,"Rp 614.000,-",07-06-2023,Express,Cash,★
34,ID0562,23,Pria,SPXID03657,Fashion,"Rp 421.000,-",11-03-2023,Hemat,Cash,★★★★
35,ID0045,34,Pria,SPXID36884,Home,"Rp 932.000,-",30-08-2024,Express,Transfer,★
36,ID0734,60,Pria,SPXID06822,Home,"Rp 345.000,-",20-02-2025,Hemat,Transfer,★★
37,ID0753,34,Wanita,SPXID19351,Home,"Rp 443.000,-",25-07-2025,Reguler,Transfer,★★
38,ID0524,47,Wanita,SPXID28671,Home,"Rp 207.000,-",08-02-2023,Hemat,Cash,★★★★
39,ID0910,33,Wanita,SPXID33720,Sport,"Rp 784.000,-",18-08-2023,Reguler,Cash,★
40,ID0739,54,Pria,SPXID32104,Food,"Rp 800.000,-",09-10-2024,Hemat,Transfer,★★★★★
41,ID0532,24,Wanita,SPXID39258,Sport,"Rp 908.000,-",14-07-2023,Express,Ngutang,★
42,ID0052,38,Wanita,SPXID04310,Home,"Rp 512.000,-",29-06-2024,Reguler,Cash,★★★★★
43,ID0502,38,Pria,SPXID37774,Fashion,"Rp 242.000,-",21-01-2023,Express,COD,★★★★★
44,ID0675,32,Pria,SPXID45360,Home,"Rp 335.000,-",13-07-2025,Next Day,Transfer,★★★★
45,ID0763,45,Wanita,SPXID39982,Sport,"Rp 771.000,-",21-09-2023,Hemat,Cash,★
46,ID0664,42,Wanita,SPXID07874,Food,"Rp 593.000,-",21-10-2025,Express,Ngutang,★★
47,ID0133,54,Pria,SPXID05689,Sport,"Rp 859.000,-",29-01-2024,Reguler,Cash,★
48,ID0654,19,Pria,SPXID42007,Sport,"Rp 918.000,-",22-03-2023,Express,COD,★
49,ID0732,36,Wanita,SPXID25464,Food,"Rp 473.000,-",22-03-2023,Express,Ngutang,★
50,ID0164,38,Pria,SPXID32453,Home,"Rp 25.000,-",18-03-2023,Next Day,Ngutang,★★★
51,ID0076,46,Pria,SPXID29606,Electronics,"Rp 95.000,-",25-05-2023,Reguler,Ngutang,★★★
52,ID0485,43,Pria,SPXID17589,Home,"Rp 71.000,-",09-09-2024,Express,Transfer,★★★★
53,ID0355,31,Pria,SPXID03423,Sport,"Rp 389.000,-",24-02-2024,Reguler,Cash,★★★
54,ID0436,42,Wanita,SPXID11964,Food,"Rp 547.000,-",21-05-2024,Express,Transfer,★★★★★
55,ID0241,24,Wanita,SPXID03955,Food,"Rp 616.000,-",05-03-2024,Next Day,COD,★★★★★
56,ID0954,26,Pria,SPXID30313,Home,"Rp 428.000,-",10-07-2024,Hemat,Ngutang,★★★
57,ID0897,43,Wanita,SPXID20006,Sport,"Rp 611.000,-",04-10-2024,Reguler,Cash,★★
58,ID0088,27,Pria,SPXID08130,Fashion,"Rp 329.000,-",15-09-2023,Express,COD,★★
59,ID0209,39,Wanita,SPXID49792,Food,"Rp 710.000,-",09-11-2024,Next Day,Cash,★★★★★
60,ID0533,42,Pria,SPXID50224,Fashion,"Rp 830.000,-",11-09-2025,Next Day,Transfer,★★★
61,ID0889,30,Wanita,SPXID43702,Home,"Rp 895.000,-",05-01-2023,Express,Ngutang,★★★★★
62,ID0559,33,Pria,SPXID36715,Fashion,"Rp 612.000,-",02-03-2024,Reguler,Cash,★★★
63,ID0450,52,Wanita,SPXID45802,Food,"Rp 134.000,-",26-11-2025,Reguler,COD,★
64,ID0361,19,Wanita,SPXID26875,Sport,"Rp 945.000,-",18-09-2024,Next Day,COD,★★
65,ID0527,20,Pria,SPXID23423,Sport,"Rp 593.000,-",11-05-2025,Hemat,Transfer,★★
66,ID0577,31,Wanita,SPXID11446,Electronics,"Rp 712.000,-",28-07-2024,Express,Ngutang,★
67,ID0303,48,Wanita,SPXID09097,Sport,"Rp 742.000,-",28-11-2023,Hemat,Transfer,★★
68,ID0442,33,Wanita,SPXID28100,Food,"Rp 18.000,-",11-02-2023,Express,Ngutang,★★★★★
69,ID0809,51,Wanita,SPXID40522,Sport,"Rp 697.000,-",19-07-2024,Next Day,Ngutang,★
70,ID0615,50,Pria,SPXID35258,Sport,"Rp 319.000,-",11-08-2023,Express,Cash,★
71,ID0179,24,Pria,SPXID27060,Electronics,"Rp 740.000,-",04-02-2024,Reguler,COD,★★★★★
72,ID0380,57,Pria,SPXID21492,Electronics,"Rp 542.000,-",15-10-2024,Next Day,Transfer,★★
73,ID0678,53,Pria,SPXID46987,Sport,"Rp 135.000,-",19-04-2024,Next Day,COD,★
74,ID0922,47,Wanita,SPXID28752,Home,"Rp 853.000,-",29-07-2023,Express,COD,★★★
75,ID0179,31,Wanita,SPXID29368,Fashion,"Rp 493.000,-",18-02-2025,Reguler,Ngutang,★★★★
76,ID0109,45,Wanita,SPXID04795,Electronics,"Rp 86.000,-",07-07-2025,Express,COD,★★★
77,ID0409,35,Wanita,SPXID02401,Food,"Rp 598.000,-",07-11-2025,Reguler,Transfer,★★★★★
78,ID0018,21,Pria,SPXID22977,Fashion,"Rp 261.000,-",16-11-2024,Express,Cash,★★★★
79,ID0314,32,Pria,SPXID31546,Food,"Rp 511.000,-",19-05-2024,Next Day,Transfer,★★★★
80,ID0581,30,Pria,SPXID21169,Home,"Rp 868.000,-",27-05-2023,Hemat,COD,★★★★★
81,ID0640,54,Pria,SPXID10078,Sport,"Rp 987.000,-",24-08-2024,Reguler,COD,★★★
82,ID0382,45,Wanita,SPXID05052,Food,"Rp 322.000,-",26-04-2024,Reguler,Transfer,★★★★★
83,ID0693,42,Pria,SPXID17125,Food,"Rp 581.000,-",03-03-2025,Hemat,Transfer,★★★★★
84,ID0264,53,Pria,SPXID38344,Home,"Rp 794.000,-",09-10-2025,Reguler,Cash,★★
85,ID0704,32,Wanita,SPXID31180,Home,"Rp 615.000,-",15-04-2025,Express,COD,★★
86,ID0290,50,Pria,SPXID27266,Home,"Rp 176.000,-",14-02-2023,Hemat,COD,★
87,ID0643,35,Pria,SPXID03752,Home,"Rp 597.000,-",29-01-2023,Reguler,Transfer,★★
